roe,roa,debt_to_equity,current_ratio,operating_margin,net_margin,gross_margin,revenue_ttm,net_income,free_cash_flow,pe_ratio,market_cap,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,perf_1y,ticker,nse_symbol,fetched_at
16.5114565896429,2.00398392148607,0.617744793240613,,24.5484763718905,,,34287629558.626003,,,,,-0.2466091245376079,-9.372666168782674,-11.552478134110787,-11.571813743350576,-9.703102909442674,-8.728517167462673,ICICIBANK.NS,ICICIBANK,2026-04-06
15.5299059274011,1.10079514550546,1.15771826398582,,15.7919331931893,,,77020243177.446,,,,,0.6666666666666712,-13.418913136499784,0.3720422640011905,16.716658975542234,2.8986981285598046,29.85496085226544,SBIN.NS,SBIN,2026-04-06
,,,,23.3522353637589,,,12526900426.52,,,,,-2.2714681440443183,-12.608372553876636,-19.89464601970846,-17.046790500822947,-20.180995475113118,-17.21807686892862,KOTAKBANK.NS,KOTAKBANK,2026-04-06
13.5914629544528,1.55356358859956,1.26346341202664,,21.6988361600797,,,18164620242.600002,,,,,2.9364610581385695,-9.435783221974752,-6.492411467116344,3.3725955427506302,-3.9448818897637725,12.797041146555719,AXISBANK.NS,AXISBANK,2026-04-06
,,,,16.7695142008287,,,3712676536.994,,,,,-1.1007462686567122,-7.454608938547474,0.39772727272727704,32.19451371571073,-0.9714178965066191,35.43689320388351,FEDERALBNK.NS,FEDERALBNK,2026-04-06
,,0.602111271365882,,-5.02006968443171,,,6594791723.054,,,,,-1.235595390524965,-17.50267379679144,-14.103563474387526,3.252794324342423,-10.872956265526605,10.035663338088447,INDUSINDBK.NS,INDUSINDBK,2026-04-06
4.08238541033435,0.530117145563625,0.403347947389398,,5.25851449454086,,,2882070519.526,,,,,0.8074449158341364,-20.582210242587607,-0.4594594594594641,-10.715151515151518,0.8764721993974262,-6.463492063492068,BANDHANBNK.NS,BANDHANBNK,2026-04-06
42.7951945541868,26.613940024374,0.0953316477107542,2.4819578171143,24.0615486077561,,,29878014480.0,,,,,3.3261757399688436,-4.583981337480563,-23.548286604361376,-17.509243697478993,-23.667185069984452,-27.01778385772914,TCS.NS,TCS,2026-04-06
32.6550625153224,19.7772828507795,0.105942716739335,1.79222573797413,20.5713361782726,,,19073089800.0,,,,,4.76,0.49884881043745205,-18.16136491469283,-10.123541523678792,-18.936486319177916,-10.338925025676138,INFY.NS,INFY,2026-04-06
23.0614046148027,15.1748551516241,0.09744989643204979,2.53692810457516,17.5390992729948,,,13697776100.0,,,,,4.3555555555555525,3.89380530973451,-11.966506280072487,-1.7024839519955408,-13.192433298416423,-2.7743271221532124,HCLTECH.NS,HCLTECH,2026-04-06
