date,regime_code,tickers
2023-06-30,4,"AUROPHARMA.NS, ABB.NS, KPITTECH.NS, ITC.NS, POLYCAB.NS, BAJAJ-AUTO.NS, SIEMENS.NS, TRENT.NS, PERSISTENT.NS, INDHOTEL.NS, POWERGRID.NS, COFORGE.NS, TITAN.NS, DRREDDY.NS, MUTHOOTFIN.NS"
2023-07-31,4,"AUROPHARMA.NS, POLYCAB.NS, ABB.NS, KPITTECH.NS, TRENT.NS, ITC.NS, BAJAJ-AUTO.NS, INDHOTEL.NS, DRREDDY.NS, NTPC.NS, SIEMENS.NS, MUTHOOTFIN.NS, TITAN.NS, BAJFINANCE.NS, POWERGRID.NS"
2023-08-31,4,"AUROPHARMA.NS, POLYCAB.NS, TRENT.NS, KPITTECH.NS, ABB.NS, MUTHOOTFIN.NS, INDHOTEL.NS, CIPLA.NS, BAJAJ-AUTO.NS, TITAN.NS, NTPC.NS, LT.NS, DRREDDY.NS, COFORGE.NS, DIVISLAB.NS"
2023-09-30,4,"POLYCAB.NS, AUROPHARMA.NS, TRENT.NS, NTPC.NS, LT.NS, COFORGE.NS, COALINDIA.NS, BAJFINANCE.NS, LTTS.NS, BAJAJ-AUTO.NS, HEROMOTOCO.NS, DIVISLAB.NS, CIPLA.NS, INDHOTEL.NS, MUTHOOTFIN.NS"
2023-10-31,3,"TRENT.NS, POLYCAB.NS, AUROPHARMA.NS, NTPC.NS, COALINDIA.NS, CIPLA.NS, PERSISTENT.NS, KPITTECH.NS, MUTHOOTFIN.NS, HEROMOTOCO.NS"
2023-11-30,4,"TRENT.NS, AUROPHARMA.NS, POLYCAB.NS, NTPC.NS, COALINDIA.NS, LT.NS, HEROMOTOCO.NS, BAJAJ-AUTO.NS, MUTHOOTFIN.NS, COFORGE.NS, DRREDDY.NS, SUNPHARMA.NS, PERSISTENT.NS, ONGC.NS, CIPLA.NS"
2023-12-31,4,"BSE.NS, ANANDRATHI.NS, SUZLON.NS, KALYANKJIL.NS, GMDCLTD.NS, DBREALTY.NS, NEWGEN.NS, BHEL.NS, GVT&D.NS, JYOTHYLAB.NS, TECHNOE.NS, WELCORP.NS, BSOFT.NS, TITAGARH.NS, NMDC.NS"
2024-01-31,4,"BSE.NS, SWANCORP.NS, GVT&D.NS, ANANDRATHI.NS, GMDCLTD.NS, RAILTEL.NS, SUZLON.NS, HINDCOPPER.NS, ADANIPOWER.NS, PFC.NS, BSOFT.NS, MAHSEAMLES.NS, JKTYRE.NS, MCX.NS, NEWGEN.NS"
2024-02-29,4,"GVT&D.NS, BSE.NS, ANANDRATHI.NS, COCHINSHIP.NS, BHEL.NS, PRESTIGE.NS, COALINDIA.NS, JKTYRE.NS, KIRLOSENG.NS, NETWEB.NS, PNB.NS, NMDC.NS, ADANIGREEN.NS, SUZLON.NS, MEDANTA.NS"
2024-03-31,4,"ANANDRATHI.NS, OFSS.NS, KALYANKJIL.NS, PRESTIGE.NS, TRENT.NS, IOC.NS, MEDANTA.NS, MCX.NS, HINDPETRO.NS, BAJAJ-AUTO.NS, ETERNAL.NS, BPCL.NS, CUMMINSIND.NS, BDL.NS, DLF.NS"
